Step,Reward,Phase,Contact,GraspForce,CubeHeight,StableSteps
182,13.900000,grasp,True,0.600,0.050,0
183,13.900000,grasp,True,0.600,0.050,0
184,13.900000,grasp,True,0.600,0.050,0
185,13.900000,grasp,True,0.600,0.050,0
186,13.900000,grasp,True,0.600,0.050,0
187,13.900000,grasp,True,0.600,0.050,0
188,13.900000,grasp,True,0.600,0.050,0
189,13.900000,grasp,True,0.600,0.050,0
190,13.900000,grasp,True,0.600,0.050,0
191,13.900000,grasp,True,0.600,0.050,0
192,13.900000,grasp,True,0.600,0.050,0
193,13.900000,grasp,True,0.600,0.050,0
194,13.900000,grasp,True,0.600,0.050,0
195,13.900000,grasp,True,0.600,0.050,0
196,13.900000,grasp,True,0.600,0.050,0
197,13.900000,grasp,True,0.600,0.050,0
198,13.900000,grasp,True,0.600,0.050,0
199,13.900000,grasp,True,0.600,0.050,0
200,13.900000,grasp,True,0.600,0.050,0
201,13.900000,grasp,True,0.600,0.050,0
202,13.900000,grasp,True,0.600,0.050,0
203,13.900000,grasp,True,0.600,0.050,0
204,13.900000,grasp,True,0.600,0.050,0
205,13.900000,grasp,True,0.600,0.050,0
206,13.900000,grasp,True,0.600,0.050,0
207,13.900000,grasp,True,0.600,0.050,0
208,13.900000,grasp,True,0.600,0.050,0
209,13.900000,grasp,True,0.600,0.050,0
210,13.900000,grasp,True,0.600,0.050,0
211,13.900000,grasp,True,0.600,0.050,0
212,13.900000,grasp,True,0.600,0.050,0
213,13.900000,grasp,True,0.600,0.050,0
214,13.900000,grasp,True,0.600,0.050,0
215,13.900000,grasp,True,0.600,0.050,0
216,13.900000,grasp,True,0.600,0.050,0
217,13.900000,grasp,True,0.600,0.050,0
218,13.900000,grasp,True,0.600,0.050,0
219,13.900000,grasp,True,0.600,0.050,0
220,13.900000,grasp,True,0.600,0.050,0
221,13.900000,grasp,True,0.600,0.050,0
222,13.900000,grasp,True,0.600,0.050,0
223,13.900000,grasp,True,0.600,0.050,0
224,13.900000,grasp,True,0.600,0.050,0
225,13.900000,grasp,True,0.600,0.050,0
226,13.900000,grasp,True,0.600,0.050,0
227,13.900000,grasp,True,0.600,0.050,0
228,13.900000,grasp,True,0.600,0.050,0
229,13.900000,grasp,True,0.600,0.050,0
230,13.900000,grasp,True,0.600,0.050,0
231,13.900000,grasp,True,0.600,0.050,0
