Step,Reward,Phase,Contact,GraspForce,CubeHeight
223,13.900000,grasp,True,0.600,0.050
224,13.900000,grasp,True,0.600,0.050
225,13.900000,grasp,True,0.600,0.050
226,13.900000,grasp,True,0.600,0.050
227,13.900000,grasp,True,0.600,0.050
228,13.900000,grasp,True,0.600,0.050
229,13.900000,grasp,True,0.600,0.050
230,13.900000,grasp,True,0.600,0.050
231,13.900000,grasp,True,0.600,0.050
232,13.900000,grasp,True,0.600,0.050
233,13.900000,grasp,True,0.600,0.050
234,13.900000,grasp,True,0.600,0.050
235,13.900000,grasp,True,0.600,0.050
236,13.900000,grasp,True,0.600,0.050
237,13.900000,grasp,True,0.600,0.050
238,13.900000,grasp,True,0.600,0.050
239,13.900000,grasp,True,0.600,0.050
240,13.900000,grasp,True,0.600,0.050
241,13.900000,grasp,True,0.600,0.050
242,13.900000,grasp,True,0.600,0.050
243,13.900000,grasp,True,0.600,0.050
244,13.900000,grasp,True,0.600,0.050
245,13.900000,grasp,True,0.600,0.050
246,13.900000,grasp,True,0.600,0.050
247,13.900000,grasp,True,0.600,0.050
248,13.900000,grasp,True,0.600,0.050
249,13.900000,grasp,True,0.600,0.050
250,13.900000,grasp,True,0.600,0.050
251,13.900000,grasp,True,0.600,0.050
252,13.900000,grasp,True,0.600,0.050
253,13.900000,grasp,True,0.600,0.050
254,13.900000,grasp,True,0.600,0.050
255,13.900000,grasp,True,0.600,0.050
256,13.900000,grasp,True,0.600,0.050
257,13.900000,grasp,True,0.600,0.050
258,13.900000,grasp,True,0.600,0.050
259,13.900000,grasp,True,0.600,0.050
260,13.900000,grasp,True,0.600,0.050
261,13.900000,grasp,True,0.600,0.050
262,13.900000,grasp,True,0.600,0.050
263,13.900000,grasp,True,0.600,0.050
264,13.900000,grasp,True,0.600,0.050
265,13.900000,grasp,True,0.600,0.050
266,13.900000,grasp,True,0.600,0.050
267,13.900000,grasp,True,0.600,0.050
268,13.900000,grasp,True,0.600,0.050
269,13.900000,grasp,True,0.600,0.050
270,13.900000,grasp,True,0.600,0.050
271,13.900000,grasp,True,0.600,0.050
272,13.900000,grasp,True,0.600,0.050
273,13.900000,grasp,True,0.600,0.050
274,13.900000,grasp,True,0.600,0.050
275,13.900000,grasp,True,0.600,0.050
276,13.900000,grasp,True,0.600,0.050
277,13.900000,grasp,True,0.600,0.050
278,13.900000,grasp,True,0.600,0.050
279,13.900000,grasp,True,0.600,0.050
280,13.900000,grasp,True,0.600,0.050
281,13.900000,grasp,True,0.600,0.050
282,13.900000,grasp,True,0.600,0.050
283,13.900000,grasp,True,0.600,0.050
284,13.900000,grasp,True,0.600,0.050
285,13.900000,grasp,True,0.600,0.050
286,13.900000,grasp,True,0.600,0.050
287,13.900000,grasp,True,0.600,0.050
288,13.900000,grasp,True,0.600,0.050
289,13.900000,grasp,True,0.600,0.050
290,13.900000,grasp,True,0.600,0.050
291,13.900000,grasp,True,0.600,0.050
292,13.900000,grasp,True,0.600,0.050
293,13.900000,grasp,True,0.600,0.050
294,13.900000,grasp,True,0.600,0.050
295,13.900000,grasp,True,0.600,0.050
296,13.900000,grasp,True,0.600,0.050
297,13.900000,grasp,True,0.600,0.050
298,13.900000,grasp,True,0.600,0.050
299,13.900000,grasp,True,0.600,0.050
300,13.900000,grasp,True,0.600,0.050
301,13.900000,grasp,True,0.600,0.050
302,13.900000,grasp,True,0.600,0.050
303,13.900000,grasp,True,0.600,0.050
304,13.900000,grasp,True,0.600,0.050
305,13.900000,grasp,True,0.600,0.050
306,13.900000,grasp,True,0.600,0.050
307,13.900000,grasp,True,0.600,0.050
308,13.900000,grasp,True,0.600,0.050
309,13.900000,grasp,True,0.600,0.050
310,13.900000,grasp,True,0.600,0.050
311,13.900000,grasp,True,0.600,0.050
312,13.900000,grasp,True,0.600,0.050
313,13.900000,grasp,True,0.600,0.050
314,13.900000,grasp,True,0.600,0.050
315,13.900000,grasp,True,0.600,0.050
316,13.900000,grasp,True,0.600,0.050
317,13.900000,grasp,True,0.600,0.050
318,13.900000,grasp,True,0.600,0.050
319,13.900000,grasp,True,0.600,0.050
320,13.900000,grasp,True,0.600,0.050
321,13.900000,grasp,True,0.600,0.050
322,13.900000,grasp,True,0.600,0.050
323,13.900000,grasp,True,0.600,0.050
324,13.900000,grasp,True,0.600,0.050
325,13.900000,grasp,True,0.600,0.050
326,13.900000,grasp,True,0.600,0.050
327,13.900000,grasp,True,0.600,0.050
328,13.900000,grasp,True,0.600,0.050
329,13.900000,grasp,True,0.600,0.050
330,13.900000,grasp,True,0.600,0.050
331,13.900000,grasp,True,0.600,0.050
332,13.900000,grasp,True,0.600,0.050
333,13.900000,grasp,True,0.600,0.050
334,13.900000,grasp,True,0.600,0.050
335,13.900000,grasp,True,0.600,0.050
336,13.900000,grasp,True,0.600,0.050
337,13.900000,grasp,True,0.600,0.050
338,13.900000,grasp,True,0.600,0.050
339,13.900000,grasp,True,0.600,0.050
340,13.900000,grasp,True,0.600,0.050
341,13.900000,grasp,True,0.600,0.050
342,13.900000,grasp,True,0.600,0.050
343,13.900000,grasp,True,0.600,0.050
344,13.900000,grasp,True,0.600,0.050
345,13.900000,grasp,True,0.600,0.050
346,13.900000,grasp,True,0.600,0.050
347,13.900000,grasp,True,0.600,0.050
348,13.900000,grasp,True,0.600,0.050
349,13.900000,grasp,True,0.600,0.050
350,13.900000,grasp,True,0.600,0.050
351,13.900000,grasp,True,0.600,0.050
352,13.900000,grasp,True,0.600,0.050
353,13.900000,grasp,True,0.600,0.050
354,13.900000,grasp,True,0.600,0.050
355,13.900000,grasp,True,0.600,0.050
356,13.900000,grasp,True,0.600,0.050
357,13.900000,grasp,True,0.600,0.050
358,13.900000,grasp,True,0.600,0.050
359,13.900000,grasp,True,0.600,0.050
360,13.900000,grasp,True,0.600,0.050
361,13.900000,grasp,True,0.600,0.050
362,13.900000,grasp,True,0.600,0.050
363,13.900000,grasp,True,0.600,0.050
364,13.900000,grasp,True,0.600,0.050
365,13.900000,grasp,True,0.600,0.050
366,13.900000,grasp,True,0.600,0.050
367,13.900000,grasp,True,0.600,0.050
368,13.900000,grasp,True,0.600,0.050
369,13.900000,grasp,True,0.600,0.050
370,13.900000,grasp,True,0.600,0.050
371,13.900000,grasp,True,0.600,0.050
372,13.900000,grasp,True,0.600,0.050
373,13.900000,grasp,True,0.600,0.050
374,13.900000,grasp,True,0.600,0.050
375,13.900000,grasp,True,0.600,0.050
376,13.900000,grasp,True,0.600,0.050
377,13.900000,grasp,True,0.600,0.050
378,13.900000,grasp,True,0.600,0.050
379,13.900000,grasp,True,0.600,0.050
380,13.900000,grasp,True,0.600,0.050
381,13.900000,grasp,True,0.600,0.050
382,13.900000,grasp,True,0.600,0.050
383,13.900000,grasp,True,0.600,0.050
384,13.900000,grasp,True,0.600,0.050
385,13.900000,grasp,True,0.600,0.050
386,13.900000,grasp,True,0.600,0.050
387,13.900000,grasp,True,0.600,0.050
388,13.900000,grasp,True,0.600,0.050
389,13.900000,grasp,True,0.600,0.050
390,13.900000,grasp,True,0.600,0.050
391,13.900000,grasp,True,0.600,0.050
392,13.900000,grasp,True,0.600,0.050
393,13.900000,grasp,True,0.600,0.050
394,13.900000,grasp,True,0.600,0.050
395,13.900000,grasp,True,0.600,0.050
396,13.900000,grasp,True,0.600,0.050
397,13.900000,grasp,True,0.600,0.050
398,13.900000,grasp,True,0.600,0.050
399,13.900000,grasp,True,0.600,0.050
400,13.900000,grasp,True,0.600,0.050
401,13.900000,grasp,True,0.600,0.050
402,13.900000,grasp,True,0.600,0.050
403,13.900000,grasp,True,0.600,0.050
404,13.900000,grasp,True,0.600,0.050
405,13.900000,grasp,True,0.600,0.050
406,13.900000,grasp,True,0.600,0.050
407,13.900000,grasp,True,0.600,0.050
408,13.900000,grasp,True,0.600,0.050
409,13.900000,grasp,True,0.600,0.050
410,13.900000,grasp,True,0.600,0.050
411,13.900000,grasp,True,0.600,0.050
412,13.900000,grasp,True,0.600,0.050
413,13.900000,grasp,True,0.600,0.050
414,13.900000,grasp,True,0.600,0.050
415,13.900000,grasp,True,0.600,0.050
416,13.900000,grasp,True,0.600,0.050
417,13.900000,grasp,True,0.600,0.050
418,13.900000,grasp,True,0.600,0.050
419,13.900000,grasp,True,0.600,0.050
420,13.900000,grasp,True,0.600,0.050
421,13.900000,grasp,True,0.600,0.050
422,13.900000,grasp,True,0.600,0.050
423,13.900000,grasp,True,0.600,0.050
424,13.900000,grasp,True,0.600,0.050
425,13.900000,grasp,True,0.600,0.050
426,13.900000,grasp,True,0.600,0.050
427,13.900000,grasp,True,0.600,0.050
428,13.900000,grasp,True,0.600,0.050
429,13.900000,grasp,True,0.600,0.050
